Vendor,Vendor Name,Part No,Model,Characteristic,Characteristic Description,Specification,Cp,CpK
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW503990N,THAR 5DOOR (W502),POSITION,Seat Locator 1- Y,-190.996,2.16,1.82
DDS00186AB,SKF INDIA LIMITED,0502EAA09561N,THAR 5DOOR (W502),OUTER DIAMETER,Outer Diameter,82.956,1.99,1.82
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),EFFORRS,Recliner lever operating force,40,2.239,1.818
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA15040N,THAR 5DOOR (W502),INNER DIAMETER,Pressing ID LH side,76.80/76.93,2.201,1.816
DDS00023AA,SENSORTEC INNOVATION INDIA,1312AW500041N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,3.3,2.15,1.81
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA66851N,THAR 5DOOR (W502),RUNOUT,Lateral Runout - 0.3 mm,0.3,2.01,1.81
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA70781N,THAR 5DOOR (W502),DYNAMIC IMBALANCE,Dynamic Imbalance - 30 GM,30,1.96,1.81
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),EFFORRS,Height adjuster effort DOWN,50,3.525,1.803
DDJ00038AD,JBM AUTO LIMITED,0102FW500030N,THAR 5DOOR (W502),PROFILE,SP2- CTQ Panel Matching Surface,0,1.72,1.8
DDS00023AA,SENSORTEC INNOVATION INDIA,1312BW500071N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,3.3,2.15,1.8
DDS00023AA,SENSORTEC INNOVATION INDIA,1312BW500081N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,3.3,2.15,1.8
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA70781N,THAR 5DOOR (W502),RUNOUT,Radial out,0.3,1.99,1.8
DDS00033AF,STEEL STRIPS WHEELS LIMITED,0404AAA67771A,THAR 5DOOR (W502),RUNOUT,Radial Runout - 0.3 mm,0.3,2.33,1.79
DDS00033AF,STEEL STRIPS WHEELS LIMITED,0404AAA67771N,THAR 5DOOR (W502),RUNOUT,Radial Runout,0.3,2.33,1.79
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2402AW500281A,THAR 5DOOR (W502),EFFORRS,HR operating effort UP,50,3.221,1.789
DDR00083AC,RANE MADRAS LIMITED,1101AAA03621N,THAR 5DOOR (W502),OUTER DIAMETER,PINION SERRATION MAJOR DIA,16.65,1.829,1.788
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),EFFORRS,Headrest bezel lock knob operating effort,20,2.493,1.787
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2402AW500281A,THAR 5DOOR (W502),EFFORRS,Headrest bezel lock knob operating effort,20,2.488,1.787
DDS00023AA,SENSORTEC INNOVATION INDIA,1312AW500051N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,3.3,2.15,1.78
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06670N,THAR 5DOOR (W502),OUTER DIAMETER,Bearing OD,49.018,1.91,1.78
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06670N,THAR 5DOOR (W502),OUTER DIAMETER,Tonner Ring Dia,40.70,1.78,1.78
DDJ00038AD,JBM AUTO LIMITED,0102FW500040N,THAR 5DOOR (W502),PROFILE,SP1- CTQ Panel Matching Surface,0,1.95,1.77
DDM00125AA,MAHABAL METALS PVT LTD,0601AAA00720N,THAR 5DOOR (W502),THICKNESS,Hat Face Thickness,12,1.81,1.77
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA70781N,THAR 5DOOR (W502),DYNAMIC IMBALANCE,Dynamic Imbalance - 30 GM,30,1.86,1.77
