Serial Number,Attribution,SAP Claim No,Commodity,Decision
R2H22381,,,,RV
R2H28523,,,,RV
R2H29297,,,,RV
R2H29297,,,,RV
R2J37026,,,,RV
R2J40426,,,,RV
R2K43891,,,,RV
R2K46398,,,,RV
R2L19092,,,,RV
R2M37981,,,,RV
S2A13757,,,,RV
S2A14939,,,,RV
S2A15925,,,,RV
S2A16654,,,,RV
S2B26095,,,,RV
S2B26404,,,,RV
S2B32003,,,,RV
S2C44385,,,,RV
S2D14749,,,,RV
S2D16883,,,,RV
S2E23975,,,,RV
S2E25197,,,,RV
S2E25197,,,,RV
S2E25607,,,,RV
S2E33821,,,,RV
S2F44761,,,,RV
S2A18571,,,,RS
S2A17136,,,,PSC
S2E28376,,,,PSC
R2G12237,,,,MTN
R2H26711,,,,MTN
R2J32752,,,,MTN
R2K12710,,,,MTN
R2K12982,,,,MTN
R2L16505,,,,MTN
R2L20125,,,,MTN
R2L20125,,,,MTN
R2L20694,,,,MTN
R2M35688,,,,MTN
S2A15925,,,,MTN
S2A20597,,,,MTN
S2A20597,,,,MTN
S2B28250,,,,MTN
S2B28250,,,,MTN
S2C39474,,,,MTN
S2C39474,,,,MTN
S2C41423,,,,MTN
S2C43775,,,,MTN
S2C43775,,,,MTN
S2C46884,,,,MTN
S2C46884,,,,MTN
S2C46956,,,,MTN
S2C47952,,,,MTN
S2D12712,,,,MTN
S2D14901,,,,MTN
S2F47972,,,,MTN
R2J41090,,,,RV
S2B31219,,,,RV
S2E32467,,,,RV
S2E32467,,,,RV
R2H30024,ANALYSIS SCRAP,,,SM
R2J34394,ANALYSIS SCRAP,,,SM
R2J34529,ANALYSIS SCRAP,,,SM
R2J37884,ANALYSIS SCRAP,,,SM
R2J40805,ANALYSIS SCRAP,,,SM
R2K12982,,,,SM
R2K12982,,,,SM
R2K12982,,,,SM
R2K12982,,,,SM
R2K44373,ANALYSIS SCRAP,,,SM
R2M36834,ANALYSIS SCRAP,,,SM
S2B27260,,,,SM
S2B27260,,,,SM
S2B27260,,,,SM
S2B27260,,,,SM
S2G48439,ANALYSIS SCRAP,,,SM
R2G16739,,,,RV
R2J34642,,,,RV
R2J36945,,,,RV
R2J41228,,,,RV
R2K46435,,,,RV
R2M35052,,,,RV
R2M38724,,,,RV
S2A21303,,,,RV
S2D15897,,,,RV
S2D22076,,,,RV
S2E27790,,,,RV
S2E28409,,,,RV
S2E33284,,,,RV
S2F38258,,,,RV
S2F43361,,,,RV
R2G15416,PSC - DNR,,,RS
R2G16739,,,,RS
S2C41190,,,,RS
S2C41489,,,,RS
S2D10385,PSC - DAMAGED,,,RS
S2D10385,PSC - DNR,,,RS
S2E25522,,,,RS
R2K11108,,,,MTN
R2K15739,,,,MTN
R2L24550,,,,MTN
S2C38572,,,,MTN
S2D11694,,,,MTN
S2D15897,,,,MTN
S2D17501,,,,MTN
S2E24745,,,,MTN
S2F39528,,,,SM
R2M37171,,,,RV
S2F43803,,,,SM
R2L24111,,,,RS
R2L28174,,,,RS
S2A12493,,,,RS
S2B26132,,,,RS
S2C40159,,,,RS
R2H20401,,,,SM
R2H25921,,,,SM
R2H26345,,,,SM
R2H29452,,,,SM
R2J31271,,,,SM
R2J33638,,,,SM
R2J34921,,,,SM
R2J35202,,,,SM
R2J37240,,,,SM
R2J37647,,,,SM
R2J38250,,,,SM
R2J39186,,,,SM
R2J39194,,,,SM
R2J40968,,,,SM
R2J41382,,,,SM
R2J41611,,,,SM
R2K10827,,,,SM
R2K10904,,,,SM
R2K11289,,,,SM
R2K11873,,,,SM
R2K43024,,,,SM
R2K45503,,,,SM
R2K45825,,,,SM
R2K49734,,,,SM
R2L20762,,,,SM
R2L23973,,,,SM
R2L25108,,,,SM
R2L26032,ANALYSIS SCRAP,,,SM
R2M28386,,,,SM
R2M36858,,,,SM
S2C45901,,,,sm
R2G16851,,,,RV
R2G17623,,,,RV
R2H28924,,,,RV
R2H28924,,,,RV
R2H28924,,,,RV
R2H28924,,,,RV
R2J31688,,,,RV
R2J32888,,,,RV
R2J33790,,,,RV
R2J37574,,,,RV
R2J40980,,,,RV
R2J41322,,,,RV
R2J41393,,,,RV
R2J42593,,,,RV
R2K10316,,,,RV
R2K10316,,,,RV
R2K14801,,,,RV
R2K15206,,,,RV
R2K44606,,,,RV
R2K44825,,,,RV
R2K46355,,,,RV
R2K46462,,,,RV
R2K47566,,,,RV
R2K49174,,,,RV
R2K49376,,,,RV
R2L21158,,,,RV
R2L24162,,,,RV
R2L26355,,,,RV
R2L26355,,,,RV
R2L27659,,,,RV
R2M29326,,,,RV
R2M29718,,,,RV
R2M30444,,,,RV
R2M32562,,,,RV
R2M32792,,,,RV
R2M33158,,,BODY,RV
R2M33418,,,,RV
R2M33418,,,,RV
R2M33418,,,,RV
R2M33464,,,,RV
R2M33464,,,,RV
R2M33975,,,,RV
R2M34409,,,,RV
R2M34409,,,,RV
R2M34420,,,,RV
R2M34656,,,,RV
R2M38145,,,BODY,RV
R2M38886,,,,RV
S2A15465,,,,RV
S2A15658,,,,RV
S2A18254,,,,RV
S2A21262,,,,RV
S2B25499,,,,RV
S2B26208,,,,RV
S2B28134,,,,RV
S2B28134,,,,RV
S2B28148,,,,RV
S2B28148,,,,RV
S2B33334,,,,RV
S2C41528,,,,RV
S2C45901,,,,RV
S2C47884,,,,RV
S2D10869,,,,RV
S2D12048,,,,RV
S2D18691,,,,RV
S2D21607,,,,RV
S2D21607,,,,RV
S2E23386,,,,RV
S2E28720,,,,RV
R2J38397,,,,RS
R2L24636,,,,RS
R2M36623,,,,RS
S2A12574,PSC - DNR,,,RS
S2A15554,,,,RS
S2A19739,,,,RS
S2B35160,,,,RS
S2C47489,,,,RS
R2J37342,,,,MTN
R2J39081,,,,MTN
R2J40976,,,,MTN
R2K12249,,,,MTN
R2K12982,,,,MTN
R2K13802,,,,MTN
R2K47189,,,,MTN
R2M32446,,,,MTN
S2A15658,,,,MTN
S2A19796,,,,MTN
S2A22079,,,,MTN
S2C41125,,,,MTN
S2D13923,,,,MTN
S2D14806,,,,MTN
S2D17672,,,,MTN
S2D21550,,,,MTN
R2H26101,,,,SM
R2J33683,,,,SM
R2J35310,,,,SM
R2J35343,,,,SM
R2K15559,,,,SM
R2K44510,,,,SM
R2L22063,,,,SM
R2L26256,,,,SM
R2M30316,,,,SM
S2B24096,,,,SM
S2C45625,,,,SM
S2D14695,,,,SM
S2D19276,,,,SM
S2D21230,,,,SM
R2J36086,,,,RV
R2J37236,,,,RV
R2J38228,,,,RV
R2J38653,,,,RV
R2J40943,,,,RV
R2J41203,,,,RV
R2J41978,,,,RV
R2K12710,,,,RV
R2K12710,,,,RV
R2L17263,,,,RV
R2L22875,,,,RV
R2L23065,,,,RV
R2M30987,,,,RV
R2M38662,,,,RV
S2A17504,,,,RV
S2A18062,,,,RV
S2A19548,,,,RV
S2A19796,,,,RV
S2B24651,,,,RV
S2B25355,,,,RV
S2B25809,,,,RV
S2B26329,,,,RV
S2B26795,,,,RV
S2B30620,,,,RV
S2C39160,,,,RV
S2D12673,,,,RV
S2D17887,,,,RV
S2D18530,,,,RV
S2D20617,,,,RV
S2D21230,,,,RV
S2D22502,,,,RV
S2E25813,,,,RV
S2E25813,,,,RV
S2E25844,,,,RV
S2E31157,,,,RV
S2E34283,,,,RV
S2F35970,,,,RV
S2F37470,,,,RV
