TDATE,BOMPARTNO,VINNumber,ScanValue
2024-12-01,1501AAA00851N,MA1UN2YZ7R2M28384,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0489
2024-12-01,2301AW502180N,MA1UN2YZ7R2M28384, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2YZ7R2M28384, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,2402AW500251A,MA1UN2JW7R2M28346,022:2402AW500251A:DM203B:271124:03:SIN-271124-873399NSK01
2024-12-01,2401AW500641A,MA1UN2JW7R2M28346,021:2401AW500641A:DM203B:291124:2:SIN-291124-132689NSK01
2024-12-01,2401AW500621A,MA1UN2JW7R2M28346,020:2401AW500621A:DM203B:301124:3:SIN-291124-132870NSK01
2024-12-01,2301AW502250N,MA1UN2YY2R2M28385, 019:2301AW502250N:DI061A:291124:01:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28385, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28385,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0711
2024-12-01,2402AW500281A,MA1UN2YY2R2M28348,022:2402AW500281A:DM203B:271124:02:SIN-271124-876460NSK01
2024-12-01,2401AW500821A,MA1UN2YY2R2M28348,021:2401AW500821A:DM203B:291124:3:SIN-291124-132339NSK01
2024-12-01,2401AW500811A,MA1UN2YY2R2M28348,020:2401AW500811A:DM203B:291124:01:0000021-NSK01
2024-12-01,2301AW503170N,MA1UN2KY7R2M28386, 019:2301AW503170N:DI061A:291124:03:000
2024-12-01,2301AW502190N,MA1UN2KY7R2M28386, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05451N,MA1UN2KY7R2M28386,000:1501BAA05451N:DD013IA:270924:01:000000P2:005:0348
2024-12-01,2301AW502200N,MA1UN2JW7R2M28387, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,2301AW502180N,MA1UN2JW7R2M28387, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28387,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0485
2024-12-01,2402AW500281A,MA1UN4KY7R2L28128,022:2402AW500281A:DM203B:301124:01:SIN-301124-890616NSK01
2024-12-01,2401AW500821A,MA1UN4KY7R2L28128,021:2401AW500821A:DM203B:301124:3:SIN-291124-132963NSK01
2024-12-01,2401AW500811A,MA1UN4KY7R2L28128,020:2401AW500811A:DM203B:301124:3:SIN-301124-132976NSK01
2024-12-01,2301AW502200N,MA1UN2JW7R2M28388, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,2301AW502180N,MA1UN2JW7R2M28388, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28388,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0471
2024-12-01,2402AW500281A,MA1UN2KY7R2M28318,022:2402AW500281A:DM203B:291124:01:0000222-NSK01
2024-12-01,2401AW500701A,MA1UN2KY7R2M28318,021:2401AW500701A:DM203B:301124:1:SIN-301124-133295NSK01
2024-12-01,2401AW500691A,MA1UN2KY7R2M28318,020:2401AW500691A:DM203B:301124:1:SIN-301124-133294NSK01
2024-12-01,2301AW502180N,MA1UN2JW7R2M28389, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2JW7R2M28389, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28389,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0477
2024-12-01,2301AW502250N,MA1UN2YY2R2M28390, 019:2301AW502250N:DI061A:291124:01:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28390, 311:2301AW502190N:DI061A:291124:01:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28390,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0661
2024-12-01,2301AW502190N,MA1UN2YY2R2M28391, 311:2301AW502190N:DI061A:291124:01:000
2024-12-01,2301AW502250N,MA1UN2YY2R2M28391, 019:2301AW502250N:DI061A:291124:01:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28391,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0660
2024-12-01,2402AW500281A,MA1UN2YY2R2M28356,022:2402AW500281A:DM203B:301124:02:SIN-301124-893148NSK01
2024-12-01,2401AW500821A,MA1UN2YY2R2M28356,021:2401AW500821A:DM203B:301124:1:SIN-301124-133219NSK01
2024-12-01,2401AW500811A,MA1UN2YY2R2M28356,020:2401AW500811A:DM203B:301124:3:SIN-291124-132951NSK01
2024-12-01,2301AW502250N,MA1UN2YY2R2M28394, 019:2301AW502250N:DI061A:291124:01:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28394, 311:2301AW502190N:DI061A:291124:01:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28394,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0655
2024-12-01,2402AW500281A,MA1UN2YY2R2M28347,022:2402AW500281A:DM203B:251124:03:SIN-251124-862335NSK01
2024-12-01,2401AW500821A,MA1UN2YY2R2M28347,021:2401AW500821A:DM203B:291124:2:SIN-291124-132712NSK01
2024-12-01,2401AW500811A,MA1UN2YY2R2M28347,020:2401AW500811A:DM203B:291124:2:SIN-291124-132711NSK01
2024-12-01,2402AW500241A,MA1UN2YY2R2L28120,022:2402AW500241A:DM203B:291124:01:0000218-NSK01
2024-12-01,2401AW500631A,MA1UN2YY2R2L28120,021:2401AW500631A:DM203B:301124:3:SIN-301124-133006NSK01
2024-12-01,2401AW500611A,MA1UN2YY2R2L28120,020:2401AW500611A:DM203B:301124:3:SIN-301124-133007NSK01
2024-12-01,2402AW500251A,MA1UN2JW7R2M28355,
2024-12-01,2401AW500641A,MA1UN2JW7R2M28355,021:2401AW500641A:DM203B:281124:3:SIN-281124-131524NSK01
2024-12-01,2401AW500621A,MA1UN2JW7R2M28355,020:2401AW500621A:DM203B:291124:1:SIN-291124-132503NSK01
2024-12-01,2402AW500251A,MA1UN2JW7R2M28353,022:2402AW500251A:DM203B:301124:01:0000010-NSK01
2024-12-01,2401AW500641A,MA1UN2JW7R2M28353,021:2401AW500641A:DM203B:301124:1:SIN-301124-133385NSK01
2024-12-01,2401AW500621A,MA1UN2JW7R2M28353,020:2401AW500621A:DM203B:301124:1:SIN-301124-133386NSK01
